Task,Cue,curColor,curMotion,TaskTransition,CueTransition,ResponseTransition,miniBlockSize,correctResponse,miniBlockTrial,miniBlock,Block
2,2,2,2,-1,-1,-1,1,2,1,1,1
2,2,1,1,0,0,1,1,1,1,2,1
2,2,1,1,0,0,0,1,1,1,3,1
1,1,2,2,1,0,1,1,2,1,4,1
1,1,1,1,0,0,1,1,1,1,5,1
2,1,1,1,1,1,0,1,1,1,6,1
1,1,1,1,1,1,0,1,1,1,7,1
2,1,2,2,1,1,1,1,2,1,8,1
1,1,2,2,1,0,0,1,2,1,9,1
1,2,2,1,0,1,0,1,2,1,10,1
1,1,1,2,0,1,1,1,1,1,11,1
1,1,1,1,0,0,0,1,1,1,12,1
2,2,2,2,1,0,1,1,2,1,13,1
1,1,2,2,1,0,0,1,2,1,14,1
2,1,2,2,1,0,0,1,2,1,15,1
1,2,1,1,1,0,1,1,1,1,16,1
2,2,1,1,1,0,0,1,1,1,17,1
1,1,2,2,1,1,1,1,2,1,18,1
2,1,2,2,1,0,0,1,2,1,19,1
2,1,2,2,0,0,0,1,2,1,20,1
1,2,2,1,1,1,0,1,2,1,21,1
2,2,2,2,1,0,0,1,2,1,22,1
1,2,2,2,1,1,0,1,2,1,23,1
2,1,1,1,1,1,1,1,1,1,24,1
2,2,1,1,0,1,0,1,1,1,25,1
1,1,1,1,1,0,0,1,1,1,26,1
2,1,1,1,1,0,0,1,1,1,27,1
1,2,2,2,1,0,1,1,2,1,28,1
2,2,1,1,1,1,1,1,1,1,29,1
1,1,2,2,1,1,1,1,2,1,30,1
2,1,2,2,1,1,0,1,2,1,31,1
2,2,1,2,0,1,0,1,2,1,32,1
1,2,2,1,1,0,0,1,2,1,33,1
2,1,2,2,1,0,0,1,2,1,34,1
1,2,1,2,1,0,1,1,1,1,35,1
2,1,1,2,1,1,1,1,2,1,36,1
1,1,1,1,1,1,1,1,1,1,37,1
1,1,2,1,0,0,1,1,2,1,38,1
2,2,1,1,1,1,1,1,1,1,39,1
2,2,2,1,0,0,0,1,1,1,40,1
1,1,1,1,1,0,0,1,1,1,41,1
2,1,1,1,1,1,0,1,1,1,42,1
1,1,2,2,1,0,1,1,2,1,43,1
2,1,2,1,1,0,1,1,1,1,44,1
2,2,2,2,0,1,1,1,2,1,45,1
1,2,2,2,1,1,0,1,2,1,46,1
1,2,1,1,0,0,1,1,1,1,47,1
2,2,1,1,1,0,0,1,1,1,48,1
1,2,2,2,1,1,1,1,2,1,49,1
2,1,1,2,1,0,0,1,2,1,50,1
2,1,1,1,0,0,1,1,1,1,51,1
1,1,1,1,1,1,0,1,1,1,52,1
2,1,2,1,1,1,0,1,1,1,53,1
1,2,2,2,1,1,1,1,2,1,54,1
2,2,1,1,1,1,1,1,1,1,55,1
1,1,1,1,1,1,0,1,1,1,56,1
2,2,2,2,1,0,1,1,2,1,57,1
1,1,2,2,1,1,0,1,2,1,58,1
1,2,1,1,0,1,1,1,1,1,59,1
1,1,2,2,0,1,1,1,2,1,60,1
2,1,1,1,1,1,1,1,1,1,61,1
1,2,2,2,1,1,1,1,2,1,62,1
1,2,2,1,0,0,0,1,2,1,63,1
2,2,2,1,1,1,1,1,1,1,64,1
1,1,2,1,1,0,1,1,2,1,65,1
2,2,2,1,1,1,1,1,1,1,66,1
1,2,1,1,1,0,0,1,1,1,67,1
2,1,2,2,1,0,1,1,2,1,68,1
1,2,1,2,1,1,1,1,1,1,69,1
1,1,2,2,0,1,1,1,2,1,70,1
2,2,1,2,1,1,0,1,2,1,71,1
1,1,2,2,1,0,0,1,2,1,72,1
2,2,2,1,1,0,1,1,1,1,73,1
2,1,1,2,0,1,1,1,2,1,74,1
1,1,1,1,1,1,1,1,1,1,75,1
2,2,2,1,1,0,0,1,1,1,76,1
1,2,2,2,1,0,1,1,2,1,77,1
2,2,1,1,1,1,1,1,1,1,78,1
2,1,1,1,0,1,0,1,1,1,79,1
1,2,1,1,1,1,0,1,1,1,80,1
1,1,2,2,0,1,1,1,2,1,81,1
2,1,1,1,1,1,1,1,1,1,82,1
1,1,2,2,1,0,1,1,2,1,83,1
2,1,1,1,1,0,1,1,1,1,84,1
1,2,2,2,1,0,1,1,2,1,85,1
2,2,2,1,1,0,1,1,1,1,86,1
1,2,2,2,1,0,1,1,2,1,87,1
2,1,2,1,1,1,1,1,1,1,88,1
2,1,2,2,0,0,1,1,2,1,89,1
1,1,2,2,1,1,0,1,2,1,90,1
2,1,2,2,1,1,0,1,2,1,91,1
2,1,1,2,0,0,0,1,2,1,92,1
1,2,2,1,1,1,0,1,2,1,93,1
2,1,2,2,1,0,0,1,2,1,94,1
1,2,1,2,1,0,1,1,1,1,95,1
2,2,1,1,1,1,0,1,1,1,96,1
1,1,2,1,1,1,1,1,2,1,97,1
1,1,2,2,0,0,0,1,2,1,98,1
2,1,1,1,1,0,1,1,1,1,99,1
1,1,2,1,1,1,1,1,2,1,100,1
2,2,2,2,1,0,0,1,2,1,101,1
1,2,1,1,1,1,1,1,1,1,102,1
2,1,2,2,1,1,1,1,2,1,103,1
1,1,2,1,1,0,0,1,2,1,104,1
2,2,2,2,1,0,0,1,2,1,105,1
2,1,2,2,0,1,0,1,2,1,106,1
1,2,2,2,1,0,0,1,2,1,107,1
2,2,1,1,1,0,1,1,1,1,108,1
1,2,1,1,1,1,0,1,1,1,109,1
2,2,1,1,1,1,0,1,1,1,110,1
2,2,1,1,0,0,0,1,1,1,111,1
1,2,2,2,1,0,1,1,2,1,112,1
1,2,2,2,0,0,0,1,2,1,113,1
2,2,1,1,1,1,1,1,1,1,114,1
1,1,2,2,1,0,1,1,2,1,115,1
2,1,1,1,1,0,1,1,1,1,116,1
2,2,1,1,0,1,0,1,1,1,117,1
1,1,2,1,1,0,1,1,2,1,118,1
1,2,2,2,0,1,0,1,2,1,119,1
1,2,2,2,0,0,0,1,2,1,120,1
2,2,2,2,1,1,0,1,2,1,121,1
1,1,1,2,1,1,1,1,1,1,122,1
1,2,2,2,0,1,1,1,2,1,123,1
2,1,1,2,1,0,0,1,2,1,124,1
1,2,2,2,1,1,0,1,2,1,125,1
2,2,1,1,1,0,1,1,1,1,126,1
2,1,2,2,0,1,1,1,2,1,127,1
1,2,2,2,1,0,0,1,2,1,128,1
2,2,2,2,1,1,0,1,2,1,129,1
2,2,1,1,0,0,1,1,1,1,130,1
2,2,2,1,-1,-1,-1,1,1,1,131,2
1,2,2,2,1,0,1,1,2,1,132,2
2,2,2,1,1,0,1,1,1,1,133,2
1,1,2,2,1,1,1,1,2,1,134,2
1,1,1,1,0,0,1,1,1,1,135,2
2,2,1,1,1,0,0,1,1,1,136,2
1,1,2,1,1,1,1,1,2,1,137,2
2,1,1,1,1,0,1,1,1,1,138,2
1,1,1,1,1,1,0,1,1,1,139,2
2,2,2,2,1,0,1,1,2,1,140,2
1,2,2,2,1,1,0,1,2,1,141,2
1,1,1,2,0,1,1,1,1,1,142,2
2,1,2,2,1,0,1,1,2,1,143,2
1,2,1,2,1,1,1,1,1,1,144,2
2,2,1,1,1,1,0,1,1,1,145,2
1,2,2,2,1,0,1,1,2,1,146,2
2,1,1,1,1,1,1,1,1,1,147,2
1,1,2,2,1,0,1,1,2,1,148,2
2,2,2,2,1,1,0,1,2,1,149,2
2,1,2,2,0,1,0,1,2,1,150,2
1,2,2,1,1,1,0,1,2,1,151,2
1,2,2,1,0,0,0,1,2,1,152,2
2,2,1,1,1,1,1,1,1,1,153,2
1,1,2,2,1,1,1,1,2,1,154,2
2,1,2,2,1,1,0,1,2,1,155,2
1,1,2,2,1,0,0,1,2,1,156,2
2,2,2,2,1,0,0,1,2,1,157,2
2,1,1,2,0,1,0,1,2,1,158,2
1,1,2,2,1,0,0,1,2,1,159,2
2,1,2,2,1,0,0,1,2,1,160,2
2,2,1,1,0,1,1,1,1,1,161,2
1,1,2,2,1,1,1,1,2,1,162,2
2,2,2,1,1,1,1,1,1,1,163,2
2,2,1,1,0,0,0,1,1,1,164,2
1,2,2,2,1,1,1,1,2,1,165,2
2,1,1,1,1,0,1,1,1,1,166,2
1,1,1,1,1,1,0,1,1,1,167,2
2,1,1,2,1,1,1,1,2,1,168,2
1,2,2,2,1,1,0,1,2,1,169,2
2,2,1,1,1,1,1,1,1,1,170,2
2,2,1,1,0,0,0,1,1,1,171,2
1,1,1,1,1,1,0,1,1,1,172,2
1,1,1,1,0,0,0,1,1,1,173,2
2,1,1,1,1,1,0,1,1,1,174,2
1,1,2,1,1,0,1,1,2,1,175,2
1,1,2,1,0,0,0,1,2,1,176,2
2,2,1,1,1,1,1,1,1,1,177,2
